bikepoint_id,name,lat,lon,bikes_available,empty_docks,docks_total,install_date,locked,temporary,timestamp,data_source
BikePoints_45,"Boston Place, Marylebone",51.522511,-0.162298,17,5,26,1278691320000,false,false,2026-04-12T11:44:47.916447,TfL_BikePoint
BikePoints_46,"Nesham Street, Wapping",51.507131,-0.06691,11,5,16,1278691800000,false,false,2026-04-12T11:44:47.916447,TfL_BikePoint
BikePoints_47,"Warwick Avenue Station, Maida Vale",51.523344,-0.183846,18,0,19,1278749160000,false,false,2026-04-12T11:44:47.916447,TfL_BikePoint
BikePoints_48,"Godliman Street, St. Paul's",51.512484,-0.099141,2,22,25,1278749460000,false,false,2026-04-12T11:44:47.916447,TfL_BikePoint
BikePoints_49,"Curzon Street, Mayfair",51.507069,-0.145904,3,12,16,1278749940000,false,false,2026-04-12T11:44:47.916447,TfL_BikePoint
BikePoints_50,"East Road, Hoxton",51.528673,-0.087459,9,16,27,1278750240000,false,false,2026-04-12T11:44:47.916447,TfL_BikePoint
BikePoints_51,"Finsbury Library , Finsbury",51.526717,-0.104298,7,21,29,1278750540000,false,false,2026-04-12T11:44:47.916447,TfL_BikePoint
BikePoints_52,"Roscoe Street, St. Luke's",51.522954,-0.094934,6,10,18,1278750840000,false,false,2026-04-12T11:44:47.916447,TfL_BikePoint
BikePoints_53,"Grafton Street, Mayfair",51.509992,-0.143495,1,14,18,1278752580000,false,false,2026-04-12T11:44:47.916447,TfL_BikePoint
BikePoints_54,"Golden Lane, Barbican",51.521747,-0.094475,6,20,27,1278766740000,false,false,2026-04-12T11:44:47.916447,TfL_BikePoint
BikePoints_55,"Finsbury Circus, Liverpool Street",51.517075,-0.086685,12,17,33,1278766980000,false,false,2026-04-12T11:44:47.916447,TfL_BikePoint
BikePoints_56,"Paddington Street, Marylebone",51.520583,-0.154701,3,12,16,1278767220000,false,false,2026-04-12T11:44:47.916447,TfL_BikePoint
BikePoints_57,"Guilford Street , Bloomsbury",51.523346,-0.120202,14,17,32,1278767460000,false,false,2026-04-12T11:44:47.916447,TfL_BikePoint
BikePoints_58,"New Inn Yard, Shoreditch",51.524526,-0.079248,0,17,20,1278767700000,false,false,2026-04-12T11:44:47.916447,TfL_BikePoint
BikePoints_60,"Lisson Grove, St. John's Wood",51.526448,-0.17219,8,8,18,1278769140000,false,false,2026-04-12T11:44:47.916447,TfL_BikePoint
BikePoints_61,"Great Dover Street, The Borough",51.497382,-0.089446,22,9,33,1278773820000,false,false,2026-04-12T11:44:47.916447,TfL_BikePoint
BikePoints_62,"Cotton Garden Estate, Kennington",51.490757,-0.106323,13,11,24,1278773940000,false,false,2026-04-12T11:44:47.916447,TfL_BikePoint
BikePoints_63,"Murray Grove , Hoxton",51.53089,-0.089782,16,10,27,1278774120000,false,false,2026-04-12T11:44:47.916447,TfL_BikePoint
BikePoints_64,"William IV Street, Strand",51.509462,-0.124749,11,14,26,1278774300000,false,false,2026-04-12T11:44:47.916447,TfL_BikePoint
BikePoints_65,"Gower Place , Euston",51.525227,-0.135188,1,16,17,1278840660000,false,false,2026-04-12T11:44:47.916447,TfL_BikePoint
BikePoints_66,"Holborn Circus, Holborn",51.51795,-0.108657,1,39,40,1278845280000,false,false,2026-04-12T11:44:47.916447,TfL_BikePoint
BikePoints_67,"Hatton Garden, Holborn",51.518825,-0.108028,1,26,28,1278847440000,false,false,2026-04-12T11:44:47.916447,TfL_BikePoint
BikePoints_68,"Theobald's Road , Holborn",51.520596,-0.116688,3,21,26,1278857040000,false,false,2026-04-12T11:44:47.916447,TfL_BikePoint
BikePoints_69,"Euston Road, Euston",51.526236,-0.134407,8,14,24,1278861540000,false,false,2026-04-12T11:44:47.916447,TfL_BikePoint
BikePoints_70,"Calshot Street , King's Cross",51.53136,-0.117069,15,9,24,1278863340000,false,false,2026-04-12T11:44:47.916447,TfL_BikePoint
BikePoints_71,"Newgate Street , St. Paul's",51.515768,-0.099894,2,33,35,1278924900000,false,false,2026-04-12T11:44:47.916447,TfL_BikePoint
BikePoints_72,"Farringdon Lane, Clerkenwell",51.52352,-0.10834,8,7,16,1276948860000,false,false,2026-04-12T11:44:47.916447,TfL_BikePoint
BikePoints_73,"Old Street Station, St. Luke's",51.525615,-0.088532,22,7,34,1278941040000,false,false,2026-04-12T11:44:47.916447,TfL_BikePoint
BikePoints_74,"Vauxhall Cross, Vauxhall",51.485917,-0.124469,12,3,17,1278941160000,false,false,2026-04-12T11:44:47.916447,TfL_BikePoint
BikePoints_75,"Torrens Street, Angel",51.532199,-0.10548,4,12,19,1278945180000,false,false,2026-04-12T11:44:47.916447,TfL_BikePoint
BikePoints_76,"Longford Street, The Regent's Park",51.525595,-0.144083,5,16,21,1278946560000,false,false,2026-04-12T11:44:47.916447,TfL_BikePoint
BikePoints_77,"Russell Square Station, Bloomsbury",51.523418,-0.124121,2,24,26,1278946860000,false,false,2026-04-12T11:44:47.916447,TfL_BikePoint
BikePoints_78,"Sadlers Sports Centre, Finsbury",51.524868,-0.099489,2,15,17,1278948480000,false,false,2026-04-12T11:44:47.916447,TfL_BikePoint
BikePoints_79,"Arundel Street, Temple",51.511726,-0.113855,0,17,18,1509018360000,false,false,2026-04-12T11:44:47.916447,TfL_BikePoint
BikePoints_80,"Webber Street , Southwark",51.500693,-0.102091,13,30,45,1278952440000,false,false,2026-04-12T11:44:47.916447,TfL_BikePoint
BikePoints_81,"Great Titchfield Street, Fitzrovia",51.520253,-0.141327,1,17,19,1279012980000,false,false,2026-04-12T11:44:47.916447,TfL_BikePoint
BikePoints_83,"Panton Street, West End",51.509639,-0.13151,1,17,21,1279015800000,false,false,2026-04-12T11:44:47.916447,TfL_BikePoint
BikePoints_84,"Breams Buildings, Holborn",51.515937,-0.111778,2,21,25,1279020240000,false,false,2026-04-12T11:44:47.916447,TfL_BikePoint
BikePoints_85,"Tanner Street, Bermondsey",51.500647,-0.0786,17,20,41,1279026060000,false,false,2026-04-12T11:44:47.916447,TfL_BikePoint
BikePoints_86,"Sancroft Street, Vauxhall",51.489479,-0.115156,13,10,24,1279027140000,false,false,2026-04-12T11:44:47.916447,TfL_BikePoint
BikePoints_88,"Percy Street, Bloomsbury",51.51863,-0.132676,8,20,29,1279028280000,false,false,2026-04-12T11:44:47.916447,TfL_BikePoint
BikePoints_90,"Harrington Square 1, Camden Town",51.533019,-0.139174,19,8,27,1279030020000,false,false,2026-04-12T11:44:47.916447,TfL_BikePoint
BikePoints_91,"Walnut Tree Walk, Vauxhall",51.493686,-0.111014,11,8,20,1279036740000,false,false,2026-04-12T11:44:47.916447,TfL_BikePoint
BikePoints_92,"Borough Road, Elephant & Castle",51.498898,-0.10044,12,29,41,1279037040000,false,false,2026-04-12T11:44:47.916447,TfL_BikePoint
BikePoints_93,"Cloudesley Road, Angel",51.534408,-0.109025,7,28,37,1279037760000,false,false,2026-04-12T11:44:47.916447,TfL_BikePoint
BikePoints_94,"Bricklayers Arms, Borough",51.495061,-0.085814,21,4,28,1279038420000,false,false,2026-04-12T11:44:47.916447,TfL_BikePoint
BikePoints_95,"Aldersgate Street, Barbican",51.520841,-0.09734,5,8,15,1279096560000,false,false,2026-04-12T11:44:47.916447,TfL_BikePoint
BikePoints_96,"Falkirk Street, Hoxton",51.53095,-0.078505,23,1,26,1279096980000,false,false,2026-04-12T11:44:47.916447,TfL_BikePoint
BikePoints_97,"Gloucester Road (North), Kensington",51.497924,-0.183834,2,14,18,1279097580000,false,false,2026-04-12T11:44:47.916447,TfL_BikePoint
BikePoints_98,"Hampstead Road, Euston",51.525542,-0.138231,5,49,54,1279099080000,false,false,2026-04-12T11:44:47.916447,TfL_BikePoint
BikePoints_101,"Queen Street 1, Bank",51.511553,-0.09294,0,19,22,1279102680000,false,false,2026-04-12T11:44:47.916447,TfL_BikePoint
BikePoints_102,"Jewry Street, Aldgate",51.513406,-0.076793,0,17,17,1279102860000,false,false,2026-04-12T11:44:47.916447,TfL_BikePoint
BikePoints_103,"Vicarage Gate, Kensington",51.504723,-0.192538,10,7,18,1279103520000,false,false,2026-04-12T11:44:47.916447,TfL_BikePoint
BikePoints_104,"Crosswall, Tower",51.511594,-0.077121,12,20,34,1279103760000,false,false,2026-04-12T11:44:47.916447,TfL_BikePoint
BikePoints_105,"Westbourne Grove, Bayswater",51.515529,-0.19024,22,2,26,1279105320000,false,false,2026-04-12T11:44:47.916447,TfL_BikePoint
BikePoints_106,"Woodstock Street, Mayfair",51.514105,-0.147301,0,18,21,1279106880000,false,false,2026-04-12T11:44:47.916447,TfL_BikePoint
BikePoints_107,"Finsbury Leisure Centre, St. Luke's",51.526008,-0.096317,11,7,20,1279107480000,false,false,2026-04-12T11:44:47.916447,TfL_BikePoint
BikePoints_109,"Soho Square , Soho",51.515631,-0.132328,10,47,57,1279108320000,false,false,2026-04-12T11:44:47.916447,TfL_BikePoint
BikePoints_110,"Wellington Road, St. John's Wood",51.533043,-0.172528,4,11,17,1279108920000,false,false,2026-04-12T11:44:47.916447,TfL_BikePoint
BikePoints_111,"Park Lane , Hyde Park",51.510017,-0.157275,8,15,28,1279109160000,false,false,2026-04-12T11:44:47.916447,TfL_BikePoint
BikePoints_112,"Stonecutter Street, Holborn",51.515809,-0.10527,0,20,21,1279115460000,false,false,2026-04-12T11:44:47.916447,TfL_BikePoint
BikePoints_113,"Gloucester Road (Central), South Kensington",51.496462,-0.183289,1,16,19,1279116600000,false,false,2026-04-12T11:44:47.916447,TfL_BikePoint
BikePoints_114,"Park Road (Baker Street), The Regent's Park",51.524517,-0.158963,2,17,22,1279119900000,false,false,2026-04-12T11:44:47.916447,TfL_BikePoint
BikePoints_115,"Braham Street, Aldgate",51.514233,-0.073537,8,20,34,1279120680000,false,false,2026-04-12T11:44:47.916447,TfL_BikePoint
BikePoints_116,"Little Argyll Street, West End",51.514499,-0.141423,1,15,21,1279122360000,false,false,2026-04-12T11:44:47.916447,TfL_BikePoint
BikePoints_117,"Lollard Street, Vauxhall",51.49288,-0.114934,7,18,25,1279124220000,false,false,2026-04-12T11:44:47.916447,TfL_BikePoint
BikePoints_118,"Rochester Row, Westminster",51.495827,-0.135478,3,10,13,1279124520000,false,false,2026-04-12T11:44:47.916447,TfL_BikePoint
BikePoints_119,"Bath Street, St. Luke's",51.525893,-0.090847,1,10,18,1279124760000,false,false,2026-04-12T11:44:47.916447,TfL_BikePoint
BikePoints_120,"The Guildhall, Guildhall",51.515735,-0.09308,2,15,17,1279187040000,false,false,2026-04-12T11:44:47.916447,TfL_BikePoint
BikePoints_121,"Baker Street, Marylebone",51.518913,-0.156166,4,16,22,1279189200000,false,false,2026-04-12T11:44:47.916447,TfL_BikePoint
BikePoints_123,"St. John Street, Finsbury",51.52836,-0.104724,2,16,18,1279191300000,false,false,2026-04-12T11:44:47.916447,TfL_BikePoint
BikePoints_124,"Eaton Square, Belgravia",51.496544,-0.150905,3,14,18,1279191540000,false,false,2026-04-12T11:44:47.916447,TfL_BikePoint
